SEKVENS	KODE	NIVEAU	TITEL	GENERELLE_NOTER	INKLUDERER	INKLUDERER_OGSÅ	EKSKLUDERER	PARAGRAF	MÅLEENHED
5734	8900	5	It, kommunikation og organisation (MITKO), master						
5735	8906	5	It, software engineering, master						
5736	8908	5	IT-handel, master						
5737	8930	5	IT-organisation, master						
5738	705935	3	Elektronik i øvrigt, LVU						
5739	70593510	4	Elektronik i øvrigt, LVU						
5740	5213	5	Robotteknologi, civilingeniør cand.polyt.						
5741	5216	5	Regulering og automation, civilingeniør cand.polyt.						
5742	5249	5	Elektronik, civilingeniør cand.polyt.						
5743	5362	5	Elektronik, civilingeniør						
5744	5374	5	Procesregulering, civilingeniør						
5745	5376	5	Svagstrøm, civilingeniør						
5746	8284	5	Advanced Power Electronics, cand.polyt.						
5747	705940	3	Energiteknologi, LVU						
5748	70594010	4	Vindenergi, LVU						
5749	8304	5	Europæisk vindenergi, civilingeniør cand.scient.						
5750	8305	5	Vindenergi, cand.polyt.						
5751	8910	5	Vindenergi, master						
5752	70594015	4	Energiteknologi i øvrigt, LVU						
5753	3052	5	Bæredygtig energi, cand.scient.tech.						
5754	3127	5	Energiteknik, cand.polyt.						
5755	3128	5	Vindenergi, cand.scient.tech.						
5756	5375	5	Stærkstrøm, civilingeniør						
5757	5391	5	Energi, civilingeniør						
5758	8306	5	Bæredygtig energi, cand.polyt.						
5759	8343	5	Energi, civilingeniør						
5760	8353	5	Energiteknologi, cand.polyt.						
5761	8372	5	Bæredygtig energiteknik, cand.polyt.						
5762	705945	3	Landinspektørvidenskab, LVU						
5763	70594510	4	Landinspektørvidenskab, LVU						
5764	3126	5	Landinspektørvidenskab,cand.scient.tech.						
5765	5413	5	Landinspektør, cand.geom.						
5766	8272	5	Landinspektørvidenskab, cand.geom.						
5767	705950	3	Maskinteknisk, LVU						
5768	70595010	4	Maskinteknik og maskinkonstruktion, LVU						
5769	5243	5	Mekanik, cand.polyt.						
5770	5364	5	Maskin, civilingeniør						
5771	5366	5	Anvendt mekanik, civilingeniør cand.polyt.						
5772	5378	5	Maskinkonstruktion, civilingeniør						
5773	5392	5	Konstruktion maskin, civilingeniør						
5774	6064	5	Industri, civilingeniør						
5775	705955	3	Miljøteknologi mv., LVU						
5776	70595510	4	Miljøteknologi mv., LVU						
5777	3047	5	Akvatisk videnskab og teknologi, cand.scient.tech.						
5778	5239	5	Miljøvidenskab, cand.tech.						
5779	5272	5	Miljø, civilingeniør						
5780	5386	5	Fiskeriteknik, civilingeniør						
