SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
300;"261200";5;Dommerarbejde;;;;;;
301;"2619";4;Andet juridisk arbejde;;;;;;
302;"261900";5;Andet juridisk arbejde;;;;;;
303;"262";3;Bibliotekar-, arkivar- og museumsinspektørarbejde;;;;;;
304;"2621";4;Arkivar- og museumsinspektørarbejde;;;;;;
305;"262100";5;Arkivar- og museumsinspektørarbejde;;;;;;
306;"2622";4;Bibliotekararbejde og andet informationsarbejde;;;;;;
307;"262200";5;Bibliotekararbejde og andet informationsarbejde;;;;;;
308;"263";3;Arbejde inden for samfundsvidenskab og religion;;;;;;
309;"2631";4;Arbejde inden for samfundsøkonomi;;;;;;
310;"263100";5;Arbejde inden for samfundsøkonomi;;;;;;
311;"2632";4;Arbejde inden for sociologi, antropologi og beslægtede områder;;;;;;
312;"263200";5;Arbejde inden for sociologi, antropologi og beslægtede områder;;;;;;
313;"2633";4;Arbejde inden for filosofi, historie og statskundskab;;;;;;
314;"263300";5;Arbejde inden for filosofi, historie og statskundskab;;;;;;
315;"2634";4;Arbejde inden for psykologi;;;;;;
316;"263400";5;Arbejde inden for psykologi;;;;;;
317;"2635";4;Socialrådgivningsarbejde;;;;;;
318;"263500";5;Socialrådgivningsarbejde;;;;;;
319;"2636";4;Arbejde inden for religion;;;;;;
320;"263600";5;Arbejde inden for religion;;;;;;
321;"264";3;Forfatterarbejde og journalistisk og sprogvidenskabeligt arbejde;;;;;;
322;"2641";4;Forfatterarbejde;;;;;;
323;"264100";5;Forfatterarbejde;;;;;;
324;"2642";4;Journalistisk arbejde;;;;;;
325;"264200";5;Journalistisk arbejde;;;;;;
326;"2643";4;Translatørarbejde og andet sprogvidenskabeligt arbejde;;;;;;
327;"264310";5;Translatørarbejde;;;;;;
328;"264320";5;Tolkearbejde;;;;;;
329;"264390";5;Andet sprogvidenskabeligt arbejde;;;;;;
330;"265";3;Arbejde med kunst og kreative fag;;;;;;
331;"2651";4;Kunstnerisk arbejde inden for visuelle kunstarter;;;;;;
332;"265100";5;Kunstnerisk arbejde inden for visuelle kunstarter;;;;;;
333;"2652";4;Kunstnerisk arbejde inden for musik og sang;;;;;;
334;"265200";5;Kunstnerisk arbejde inden for musik og sang;;;;;;
335;"2653";4;Kunstnerisk arbejde inden for dans og koreografi;;;;;;
336;"265300";5;Kunstnerisk arbejde inden for dans og koreografi;;;;;;
337;"2654";4;Arbejde med instruktion og produktion af film, teater og beslægtede funktioner;;;;;;
338;"265400";5;Arbejde med instruktion og produktion af film, teater og beslægtede funktioner;;;;;;
339;"2655";4;Skuespilarbejde;;;;;;
340;"265500";5;Skuespilarbejde;;;;;;
341;"2656";4;Speakerarbejde på radio, TV og andre medier;;;;;;
342;"265600";5;Speakerarbejde på radio, TV og andre medier;;;;;;
343;"2659";4;Andet arbejde med kunst og kreative fag;;;;;;
344;"265900";5;Andet arbejde med kunst og kreative fag;;;;;;
345;"3";1;Arbejde, der forudsætter viden på mellemniveau;;;;;;
346;"31";2;Teknikerarbejde inden for videnskab, ingeniørvirksomhed og skibs- og luftfart;;;;;;
347;"311";3;Teknikerarbejde inden for fysisk videnskab og ingeniørvirksomhed;;;;;;
348;"3111";4;Teknikerarbejde inden for kemisk og fysisk videnskab;;;;;;
349;"311110";5;Laborantarbejde;;;;;;
350;"311120";5;Assistentarbejde i laboratorier;;;;;;
351;"311130";5;Laboratorieteknikerarbejde;;;;;;
352;"311140";5;Teknikerarbejde inden for geologi, meteorologi og astronomi;;;;;;
353;"3112";4;Teknikerarbejde inden for byggeri- og anlæg;;;;;;
354;"311200";5;Teknikerarbejde inden for byggeri- og anlæg;;;;;;
355;"3113";4;Teknikerarbejde inden for det elektriske område;;;;;;
356;"311300";5;Teknikerarbejde inden for det elektriske område;;;;;;
357;"3114";4;Teknikerarbejde inden for det elektroniske område;;;;;;
358;"311400";5;Teknikerarbejde inden for det elektroniske område;;;;;;
359;"3115";4;Teknikerarbejde inden for det mekaniske område;;;;;;
360;"311510";5;Teknikerarbejde inden for VVS;;;;;;
361;"311590";5;Teknikerarbejde inden for andre mekaniske områder;;;;;;
362;"3116";4;Teknikerarbejde inden for det kemiske område;;;;;;
363;"311600";5;Teknikerarbejde inden for det kemiske område;;;;;;
364;"3117";4;Teknikerarbejde inden for minedrift og metallurgi;;;;;;
365;"311700";5;Teknikerarbejde inden for minedrift og metallurgi;;;;;;
366;"3118";4;Teknisk tegnearbejde;;;;;;
367;"311800";5;Teknisk tegnearbejde;;;;;;
368;"3119";4;Andet teknikerarbejde inden for fysisk videnskab og ingeniørvirksomhed;;;;;;
369;"311900";5;Andet teknikerarbejde inden for fysisk videnskab og ingeniørvirksomhed;;;;;;
